<<<<<<< HEAD
1,Engrais,10,0
2,Chlorophylle,15,0
3,Brasier,5,0
4,Force Soleil,0,10
5,Torrent,10,0
6,Cuvette,0,15
7,Ecran Poudre,0,20
8,Fuite,0,5
9,Regard vif,13,0
10,Pied confus,9,0
11,Coeur de Coq,0,11
12,Cran,25,0
13,Agitation,0,25
14,Intimidation,18,0
15,Mue,0,16
16,Tension,7,0
17,Statik,9,0
18,Paratonnerre,18,0
19,Point Poison,27,0
20,Rivalité,0,17
21,Attention,0,12
22,Infiltration,40,0
23,Ramassage,10,0
24,Technicien,0,15
25,Torche,0,8
26,Coeur Noble,0,40
27,Annule Garde,26,0
28,Impassible,0,34
29,Gloutonnerie,29,0
30,Tete de Roc,15,0
31,Fermeté,10,0
32,Voile Sable,0,17
33,Corps Ardent,1,0
34,Armurouillée,0,1
35,Lévitation,18,0
36,Adaptabilité,0,20
37,Anticipation,10,0
=======
id,name
1,Engrais
2,Chlorophylle
3,Brasier
4,Force Soleil
5,Torrent
6,Cuvette
7,Ecran Poudre
8,Fuite
9,Regard vif
10,Pied confus
11,Coeur de Coq
12,Cran
13,Agitation
14,Intimidation
15,Mue
16,Tension
17,Statik
18,Paratonnerre
19,Point Poison
20,Rivalité
21,Attention
22,Infiltration
23,Ramassage
24,Technicien
25,Torche
26,Coeur Noble
27,Annule Garde
28,Impassible
29,Gloutonnerie
30,Tete de Roc
31,Fermeté
32,Voile Sable
33,Corps Ardent
34,Armurouillée
35,Lévitation
36,Adaptabilité
37,Anticipation
>>>>>>> refs/remotes/origin/master
